CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90581634,2017,2017-10-30,9645,2017-10-21,0935,018223,,6,1,7,3711,0,3,5,,2,024,"RANCHO BERNARDO RD W/B","ALVA RD",550.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,1,C,-,18,,,N,F,A,A,A,G,-,A,D,0,,Y,,,Y,,-,-,0,1,0,0,0,0,1,0,0,-,-,33.02213,-117.10335,"SAN DIEGO","SAN DIEGO",-117.10351958,33.02208179
90410428,2017,2017-03-13,9645,2017-03-02,1640,017953,,4,2,7,3711,0,1,1,,2,021,"S/B SR-15/40TH ST FROM EL CAJON BLVD.","E/B EL CAJON BLVD.",10.00,S,N,A,-,Y,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,-,-,32.75506,-117.10934,"SAN DIEGO","SAN DIEGO",,
90027314,2015,2015-10-19,9645,2015-09-29,0944,013383,,2,1,7,3711,0,3,5,,2,024,"W/B BERNARDO CENTER DRIVE","CAYENNE RIDGE ROAD",120.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,1,B,-,22,,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,-,-,33.0023,-117.10123,"SAN DIEGO","SAN DIEGO",,
90196205,2016,2016-06-07,9645,2016-06-06,0755,014669,,1,1,7,3711,0,3,5,,2,024,"DOVE CANYON ROAD S/B (16100 BLOCK)","DOVE CREEK ROAD",85.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,-,-,33.00606,-117.10947,"SAN DIEGO","SAN DIEGO",-117.10918987,33.00570978
90124838,2016,2016-02-29,9645,2016-01-26,0002,020301,,2,3,7,3711,0,1,1,,2,010,"I-5 S/B TO ROSECRANS ST.","FRIARS RD",120.00,S,N,A,-,Y,,,5,,,,R,,S,N,2,0,1,2,A,-,08,22107,,N,G,G,A,A,H,-,D,D,0,,Y,,,Y,Y,L,04,1,0,0,0,0,0,1,0,0,-,-,32.76046,-117.2053,"SAN DIEGO","SAN DIEGO",-117.2053,32.76046
8780066,2018,2019-02-15,3711,2018-11-25,2302,6967,,7,5,7,3711,0,0,0,,0,313,"CLAIREMONT MESA BL","RT 163",341.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,17,21209,A,N,C,G,A,A,H,-,C,D,0,,Y,,,Y,,A,01,1,0,0,0,0,0,1,0,0,-,NO,,,"SAN DIEGO","SAN DIEGO",-117.14175828,32.83163862
8778719,2018,2019-01-30,3711,2018-12-26,1008,5654,,3,5,7,3711,0,0,0,,0,627,"WEST WASHINGTON ST","FRONT ST",126.00,W,N,-,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,G,A,-,H,-,A,D,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,-,-,,,"SAN DIEGO","SAN DIEGO",-117.16540846,32.74983
8775875,2018,2019-02-12,3711,2018-12-26,1740,6762,SD,3,5,7,3711,0,0,0,,0,832,"UNIVERSITY AV","UNIVERSITY AV 4100",4.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,M,D,G,A,A,H,-,C,D,0,,Y,,,Y,,-,,0,0,1,0,0,0,1,0,0,-,-,,,"SAN DIEGO","SAN DIEGO",,
8773350,2018,2019-01-07,3711,2018-12-13,1220,5910,504A,4,5,7,3711,0,0,0,,0,503,"HARBOR ISLAND DR","LIBERATOR WY",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,-,-,,,"SAN DIEGO","SAN DIEGO",-117.19648004,32.72700001
8772562,2018,2019-01-18,3711,2018-12-20,1608,7226,,4,5,7,3711,0,0,0,,0,813,"30TH ST","DWIGHT ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,00,21760,,M,B,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,-,-,,,"SAN DIEGO","SAN DIEGO",-117.1300801,32.74423006
